route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_code
1778,1,336M,MECİDİYEKÖY METROBÜS - TAŞOLUK PERONLAR,3,SAAT'LERDE TAŞOLUK PERONLAR MECİDİYEKÖY.,336M_D_D4806
1779,1,336M,MECİDİYEKÖY METROBÜS - ARNAVUTKÖY PERONLAR,3,,336M_D_D5650
1780,1,336M,MECİDİYEKÖY METROBÜS - ARNAVUTKÖY PERONLAR,3,,336M_D_D5688
1781,1,336M,ARNAVUTKÖY PERONLAR - MECİDİYEKÖY METROBÜS,3,,336M_G_D0
1782,1,336M,TAŞOLUK PERONLAR - MECİDİYEKÖY METROBÜS,3,SAAT'LERDE TAŞOLUK PERONLAR MECİDİYEKÖY.,336M_G_D4805
1783,1,336M,ARNAVUTKÖY PERONLAR - MECİDİYEKÖY METROBÜS,3,,336M_G_D5687
1784,1,336MC,CEBECİ PERONLAR - MEHMET AKİF ERSOY CAMİİ,3,,336MC_D_D0
1785,1,336MC,CEBECİ PERONLAR - BOLLUCA MAHALLESİ,3,,336MC_D_D5569
1786,1,336MC,MEHMET AKİF ERSOY CAMİİ - CEBECİ PERONLAR,3,,336MC_G_D0
1787,1,336MC,İMRAHOR MAHALLESİ - TOPKAPI ALT GEÇİT,3,,336MC_G_D5021
1788,1,336T,CEBECİ PERONLAR - KIZILAĞAÇ SOKAK,3,,336T_D_D0
1789,1,336T,KIZILAĞAÇ SOKAK - CEBECİ PERONLAR,3,,336T_G_D0
1790,1,336T,KIZILAĞAÇ SOKAK - CEBECİ PERONLAR,3,,336T_G_D5230
1791,1,336Y,YENİKAPI ETKİNLİK ALANI - CEBECİ PERONLAR,3,,336Y_D_D0
1792,1,336Y,YENİKAPI ETKİNLİK ALANI - CEBECİ PERONLAR,3,,336Y_D_D5611
1793,1,336Y,CEBECİ PERONLAR - YENİKAPI ETKİNLİK ALANI,3,,336Y_G_D0
1794,1,33B,EMİNÖNÜ - GİYİMKENT,3,,33B_D_D0
1795,1,33B,EMİNÖNÜ - ESENLER BİLİM PARKI,3,ESENLER BİLİM PARKI-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,33B_D_D5311
1797,1,33B,EMİNÖNÜ - ŞEHİT TÜRKMEN TEKİN,3,HZ. ALİ CAMİİ-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,33B_D_D5606
1800,1,33B,GİYİMKENT - EMİNÖNÜ,3,,33B_G_D0
1802,1,33B,HZ.ALİ CAMİİ - EMİNÖNÜ,3,HZ. ALİ CAMİİ-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,33B_G_D5558
1803,1,33B,ESENLER BİLİM PARKI - EMİNÖNÜ,3,ESENLER BİLİM PARKI-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,33B_G_D7009
1805,1,33E,EMİNÖNÜ - ÇİFTE DUTLAR,3,,33E_D_D0
1806,1,33E,UNKAPANI - KEMERPARK EVLERİ,3,,33E_D_D5450
1807,1,33E,AKSARAY - ESENLER METRO,3,,33E_D_D5469
1808,1,33E,AKSARAY - ESENLER METRO,3,,33E_D_D7218
1809,1,33E,ÇİFTE DUTLAR - EMİNÖNÜ,3,,33E_G_D0
1811,1,33E,KEMERPARK EVLERİ - MECİDİYEKÖY MEZARLIK,3,KEMERPARK-MECİDİYEKÖY GÜZERGAHINDA HİZMET VERİR.,33E_G_D5406
1812,1,33E,KEMERPARK EVLERİ - UNKAPANI,3,,33E_G_D4933
1813,1,33E,İSMETPAŞA İLKOKULU - EMİNÖNÜ,3,,33E_G_D5727
1815,1,33ES,EMİNÖNÜ - GİYİMKENT,3,,33ES_D_D0
1818,1,33ES,GİYİMKENT - EMİNÖNÜ,3,,33ES_G_D0
1821,1,33ES,GİYİMKENT - EMİNÖNÜ,3,ÖRFİ ÇETİNKAYA İLKOKULU GÜZERGAHINDAN HİZMET VERİR.,33ES_G_D5411
1824,1,33M,MECİDİYEKÖY METROBÜS - GİYİMKENT,3,,33M_D_D0
1826,1,33M,GİYİMKENT - MECİDİYEKÖY METROBÜS,3,,33M_G_D0
1827,1,33M,GİYİMKENT - MECİDİYEKÖY METROBÜS,3,,33M_G_D5416
1829,1,33TE,EMİNÖNÜ - GİYİMKENT,3,,33TE_D_D0
1830,1,33TE,EMİNÖNÜ - HZ.ALİ CAMİİ,3,HZ ALİ CAMİİ-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,33TE_D_D5380
1831,1,33TE,EMİNÖNÜ - HZ.ALİ CAMİİ,3,HZ ALİ CAMİİ-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,33TE_D_D5565
1832,1,33TE,GİYİMKENT - EMİNÖNÜ,3,,33TE_G_D0
1833,1,33TE,HZ.ALİ CAMİİ - EMİNÖNÜ,3,HZ ALİ CAMİİ-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,33TE_G_D5379
1834,1,33TE,HZ.ALİ CAMİİ - EMİNÖNÜ,3,HZ ALİ CAMİİ-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,33TE_G_D5564
1835,1,33TE,HZ.ALİ CAMİİ - ŞEHİT ALİ KARAHAN CADDESİ,3,,33TE_G_D5655
1836,1,33TM,MECİDİYEKÖY METROBÜS - GİYİMKENT,3,,33TM_D_D0
1837,1,33TM,MECİDİYEKÖY METROBÜS - HZ.ALİ CAMİİ,3,HZ.ALİ CAMİİ-MECİDİYEKÖY GÜZERGAHINDA HİZMET VERİR.,33TM_D_D5373
1838,1,33TM,GİYİMKENT - MECİDİYEKÖY METROBÜS,3,,33TM_G_D5377
1839,1,33TM,GİYİMKENT - MECİDİYEKÖY METROBÜS,3,,33TM_G_D0
1840,1,33TM,HZ.ALİ CAMİİ - MECİDİYEKÖY METROBÜS,3,HZ.ALİ CAMİİ-MECİDİYEKÖY GÜZERGAHINDA HİZMET VERİR.,33TM_G_D5271
1841,1,33TM,GİYİMKENT - MECİDİYEKÖY METROBÜS,3,ANADOLU CADDESİ GÜZERGAHINDA HİZMET VERİR.,33TM_G_D5376
1842,1,33TM,MECİDİYEKÖY METROBÜS - GİYİMKENT,3,,33TM_D_D5378
1843,1,33Y,EMİNÖNÜ - GİYİMKENT,3,,33Y_D_D0
1845,1,33Y,EMİNÖNÜ - GİYİMKENT,3,HALK PAZARI NEDENİYLE 42 EVLERE GİRMEZ.,33Y_D_D5525
1846,1,33Y,EMİNÖNÜ - GİYİMKENT,3,,33Y_D_D5610
1847,1,33Y,GİYİMKENT - EMİNÖNÜ,3,,33Y_G_D0
1849,1,33Y,GİYİMKENT - EMİNÖNÜ,3,HALK PAZARI NEDENİYLE 42 EVLERE GİRMEZ.,33Y_G_D5524
1850,1,35,EMİNÖNÜ - KOCA MUSTAFAPAŞA,3,,35_D_D0
1852,1,35,KOCA MUSTAFAPAŞA - EMİNÖNÜ,3,,35_G_D0
1853,1,35,KOCA MUSTAFAPAŞA - EMİNÖNÜ,3,,35_G_D5105
1854,1,35A,YUSUFPAŞA - KOCA MUSTAFAPAŞA,3,,35A_D_D0
1855,1,35A,KOCA MUSTAFAPAŞA - AKSARAY RİNG,3,,35A_G_D0
1856,1,35A,KOCA MUSTAFAPAŞA - AKSARAY RİNG,3,,35A_G_D5106
1858,1,35C,HARBİYE ASKERİ MÜZE - KOCA MUSTAFAPAŞA,3,,35C_D_D0
1860,1,35C,KOCA MUSTAFAPAŞA - HARBİYE ASKERİ MÜZE,3,,35C_G_D0
1861,1,35C,KOCA MUSTAFAPAŞA - HARBİYE,3,,35C_G_D5170
1863,1,35D,BALAT PERON - KOCA MUSTAFAPAŞA,3,,35D_D_D0
1868,1,35D,KOCA MUSTAFAPAŞA - BALAT PERON,3,,35D_G_D0
1873,1,36,AKSARAY RİNG - YENİ MAHALLE METRO,3,,36_D_D0
1874,1,36,YENİ MAHALLE METRO - AKSARAY RİNG,3,,36_G_D0
1875,1,36,YENİ MAHALLE METRO - AKSARAY RİNG,3,,36_G_D5462
1877,1,36A,VEZNECİLER - CEBECİ PERONLAR,3,,36A_D_D0
1878,1,36A,CEBECİ PERONLAR - VEZNECİLER,3,,36A_G_D0
1879,1,36A,CEBECİ KÖYİÇİ - CEBECİ PERONLAR,3,SAATTE CEBECİ KÖYÜNDEN BAŞLAR.,36A_G_D5428
1880,1,36A,MALKOÇOĞLU - VEZNECİLER,3,SAATTE MALKOÇOĞLUNDAN BAŞLAR.,36A_G_D7051
1881,1,36AS,KARTALTEPE - TAŞOLUK PERONLAR,3,,36AS_D_D0
1882,1,36AS,KARTALTEPE - TAŞOLUK PERONLAR,3,ŞAMLAR KÖYÜNDEN GEÇER.,36AS_D_D5284
1883,1,36AS,TAŞOLUK PERONLAR - KARTALTEPE,3,,36AS_G_D0
1884,1,36AS,TAŞOLUK PERONLAR - KARTALTEPE,3,ŞAMLAR KÖYÜNDEN GEÇER.,36AS_G_D5283
1885,1,36AY,YENİBOSNA METRO - ARNAVUTKÖY PERONLAR,3,,36AY_D_D0
1886,1,36AY,YENİBOSNA METRO - ARNAVUTKÖY PERONLAR,3,ŞAMLAR KÖYÜNE GİRER,36AY_D_D5280
1887,1,36AY,ARNAVUTKÖY PERONLAR - YENİBOSNA METRO,3,,36AY_G_D0
1888,1,36AY,ARNAVUTKÖY PERONLAR - YENİBOSNA METRO,3,ŞAMLAR KÖYÜNE GİRER,36AY_G_D5279
1889,1,36B,CEBECİ PERONLAR - MEHMET AKİF ERSOY CAMİİ,3,,36B_D_D0
1890,1,36B,CEBECİ PERONLAR - FATİH CADDESİ,3,ARNAVUTKÖY MERKEZ İ.Ö.O 'NA GİDER.,36B_D_D5242
1891,1,36B,CEBECİ PERONLAR - BOĞAZKÖY,3,SEFERLERDE CEBECİDEN İSTİKLAL MAHALLESİNE GİDER.,36B_D_D5245
1892,1,36B,MEHMET AKİF ERSOY CAMİİ - CEBECİ PERONLAR,3,,36B_G_D0
1893,1,36B,MEHMET AKİF ERSOY CAMİİ - CEBECİ PERONLAR,3,,36B_G_D5728
1894,1,36B,ARNAVUTKÖY İLKOKULU - MAHMUTBEY METRO,3,MERKEZ İÖO'DAN BOLLUCA GÜZERGAHIYLA MAHMUTBEY METRO'YA GİDER.,36B_G_D7040
1895,1,36C,CEBECİ PERONLAR - ARNAVUTKÖY PERONLAR,3,,36C_D_D0
1896,1,36C,CEBECİ PERONLAR - ARNAVUTKÖY PERONLAR,3,,36C_G_D5547
1897,1,36C,ARNAVUTKÖY PERONLAR - CEBECİ PERONLAR,3,,36C_G_D0
1898,1,36C,ARNAVUTKÖY PERONLAR - CEBECİ PERONLAR,3,,36C_D_D5546
1899,1,36CB,2741.SOKAK - CEBECİ KÖYİÇİ,3,,36CB_D_D0
1900,1,36CB,İSTİKLAL MAHALLESİ - MAHMUTBEY İSKİ,3,İSTİKLAL MAHALLESİ-MAHMUTBEY METRO GÜZERGAHINDA HİZMET VERİR.,36CB_D_D5381
1901,1,36CB,CEBECİ KÖYİÇİ - 2741.SOKAK,3,,36CB_G_D0
1902,1,36CE,EMİNÖNÜ - CEBECİ PERONLAR,3,,36CE_D_D0
1903,1,36CE,CEBECİ PERONLAR - EMİNÖNÜ,3,,36CE_G_D0
1904,1,36CE,CEBECİ PERONLAR - CEBECİ MAHALLESİ,3,HATTIMIZ 21:00'A KADAR RİNG OLARAK HİZMET VERİR.,36CE_G_D5639
1905,1,36CE,MALKOÇOĞLU - CEBECİ PERONLAR,3,SAATTE MALKOÇOĞLUNDAN BAŞLAR.,36CE_G_D7074
1906,1,36CY,YENİBOSNA METRO - CEBECİ PERONLAR,3,,36CY_D_D0
1907,1,36CY,CEBECİ PERONLAR - YENİBOSNA METRO,3,,36CY_G_D0
1908,1,36D,HEYBETLİ SOKAK - ARNAVUTKÖY PERONLAR,3,,36D_D_D0
1909,1,36D,HEYBETLİ SOKAK - ARNAVUTKÖY PERONLAR,3,HACIMAŞLI'YA GİRMEZ.,36D_D_D5052
1911,1,36D,ARNAVUTKÖY PERONLAR - HEYBETLİ SOKAK,3,,36D_G_D0
1912,1,36D,ARNAVUTKÖY PERONLAR - HEYBETLİ SOKAK,3,HACIMAŞLI'YA GİRMEZ.,36D_G_D5051
1913,1,36D,ARNAVUTKÖY PERONLAR - YASSIÖREN,3,,36D_G_D5476
1915,1,36E,AKSARAY-ESENTEPE,3,,36E_D_D0
1916,1,36E,AKSARAY - ESENTEPE,3,,36E_D_D5037
1918,1,36E,ESENTEPE-AKSARAY,3,,36E_G_D0
1919,1,36E,50.YIL MAHALLESİ - AKSARAY,3,,36E_G_D5033
1920,1,36E,ESENTEPE - AKSARAY,3,,36E_G_D5035
1923,1,36EM,MECİDİYEKÖY AVM - CEBECİ PERONLAR,3,,36EM_D_D0
1924,1,36EM,CEBECİ PERONLAR - MECİDİYEKÖY AVM,3,,36EM_G_D0
1925,1,36ES,AKSARAY RİNG - SULTANGAZİ PERONLAR,3,,36ES_D_D0
1927,1,36ES,SULTANGAZİ PERONLAR - AKSARAY RİNG,3,,36ES_G_D0
